Date,Description,Amount,Type,Category,Account
2026-03-22,UNIQLO SOHO 546 BROADWAY NEW YORK NY,371.17,debit,Shopping,Charles Schwab
2026-03-21,MOMOFUKU NISSI WA 171 1ST AVE NEW YORK NY,178.04,debit,Restaurants,Capital One Venture
2026-03-21,THE DEAD RABBIT 30 PEARL ST NEW YORK NY USA,56.5,debit,Bars & Alcohol,Wells Fargo
2026-03-20,UNITED AIRLINES CHICAGO IL,709.27,debit,Travel & Vacation,Amex Platinum
2026-03-20,UNITED AIRLINES CHICAGO IL,1134.92,debit,Travel & Vacation,Wells Fargo
2026-03-19,MORTON WILLIAMS #14     EAST 74TH ST NYC,209.97,debit,Groceries,Amex Platinum
2026-03-19,DOORDASH *DASHPASS HELP.DOORDASH.COM CA,13.41,debit,Subscriptions,Chase Sapphire
2026-03-19,JOE COFFEE 1271 6TH AVE NEW YORK NY USA,6.45,debit,Coffee Shops,Capital One Venture
2026-03-19,AplPay YANKEE TICKETS BRONX NY,48.58,credit,Entertainment,Capital One Venture
2026-03-18,WIRE TRANSFER OUTGOING DOMESTIC,2742.25,credit,Transfer,Amex Platinum
2026-03-18,CORPORATE CARD REIMBURSEMENT ACME CORP,435.53,credit,Reimbursement,Chase Sapphire
2026-03-18,STARBUCKS STORE #45678 BROADWAY NYC,9.39,debit,Coffee Shops,Chase Sapphire
2026-03-18,MORTON WILLIAMS #14     EAST 74TH ST NYC,93.1,debit,Groceries,Wells Fargo
2026-03-17,ZELLE TRANSFER TO SAVINGS ACCOUNT,2078.5,credit,Transfer,Amex Platinum
2026-03-17,BLOOMINGDALES LEXINGTON AVE NYC,431.97,debit,Shopping,Capital One Venture
2026-03-17,AplPay TESLA SERVICE CENTER BROOKLYN NY,227.88,debit,Car & Transport,Wells Fargo
2026-03-17,UNITED AIRLINES CHICAGO IL,1457.11,debit,Travel & Vacation,Amex Platinum
2026-03-16,MARRIOTT HOTELS BETHESDA MD,1298.0,credit,Travel & Vacation,Wells Fargo
2026-03-16,DAVIES DINER 456 PARK AVE NEW YORK NY USA,75.3,debit,Restaurants,Amex Platinum
2026-03-16,MOMOFUKU NISSI WA 171 1ST AVE NEW YORK NY,35.53,debit,Restaurants,Capital One Venture
2026-03-16,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,148.77,debit,Restaurants,Wells Fargo
2026-03-15,DELTA AIR LINES 800-221-1212 ATLANTA GA,1729.63,debit,Travel & Vacation,Chase Sapphire
2026-03-15,APPLE FIFTH AVENUE NEW YORK NY USA,562.31,debit,Shopping,Capital One Venture
2026-03-15,UBER TRIP HELP.UBER.COM CA,1993.43,debit,Travel & Vacation,Charles Schwab
2026-03-15,CVS PHARMACY #4567 7TH AVE NEW YORK NY,195.37,debit,Personal Care,Amex Platinum
2026-03-15,NETFLIX.COM 800-123-4567 CA,14.75,credit,Subscriptions,Capital One Venture
2026-03-15,CONDO HOA MONTHLY FEE 157 WEST 57TH ST NYC,3362.81,debit,Housing,Capital One Venture
2026-03-15,TRADER JOES STORE 0234      UPPER WEST SIDE NY,165.52,debit,Groceries,Chase Sapphire
2026-03-14,BLUE BOTTLE COFFEE 450 W 15TH ST NEW YORK NY,5.69,debit,Coffee Shops,Charles Schwab
2026-03-14,ZELLE TRANSFER TO SAVINGS ACCOUNT,2183.18,credit,Transfer,Amex Platinum
2026-03-13,BARBER & CO 567 5TH AVE NEW YORK NY USA,196.53,credit,Personal Care,Capital One Venture
2026-03-12,AMAZON.COM*XYZ789 AMAZON.COM/WA,626.22,debit,Shopping,Amex Platinum
2026-03-12,LE BERNARDIN 155 WEST 51ST ST NEW YORK NY,113.51,debit,Restaurants,Capital One Venture
2026-03-12,UNIQLO SOHO 546 BROADWAY NEW YORK NY,360.64,debit,Shopping,Chase Sapphire
2026-03-11,LA COLMBE COFFEE ROASTERS NYC,6.22,debit,Coffee Shops,Amex Platinum
2026-03-09,CORPORATE CARD REIMBURSEMENT ACME CORP,325.69,credit,Reimbursement,Capital One Venture
2026-03-09,AplPay NOBU DOWNTOWN NEW YORK NY,170.71,debit,Restaurants,Wells Fargo
2026-03-09,BEST BUY #234 5TH AVE CHELSEA NY,44.06,debit,Shopping,Amex Platinum
2026-03-08,PELOTON ALL-ACCESS MEMBERSHIP NY,32.85,debit,Subscriptions,Charles Schwab
2026-03-08,CAVA MEDITERRANEAN GRILL 55 FIFTH AVE NYC,67.31,credit,Restaurants,Chase Sapphire
2026-03-07,NYC MTA METROCARD AUTOREFILL NEW YORK NY,117.01,debit,Public Transit,Charles Schwab
2026-03-07,AplPay LINCOLN CENTER EVENTS NYC,148.21,debit,Entertainment,Amex Platinum
2026-03-07,AplPay TIME WARNER CABLE INTERNET NYC,113.33,debit,Utilities,Charles Schwab
2026-03-07,DOORDASH *DASHPASS HELP.DOORDASH.COM CA,31.2,credit,Subscriptions,Amex Platinum
2026-03-06,INTEREST CREDIT HIGH-YIELD SAVINGS,37.7,credit,Interest,Wells Fargo
2026-03-06,DELTA AIR LINES 800-221-1212 ATLANTA GA,800.15,debit,Travel & Vacation,Wells Fargo
2026-03-05,IMPEL PARKING 230 WEST 41ST ST NYC,11.47,debit,Parking,Charles Schwab
2026-03-05,NY E-ZPASS TRI-BOROUGH BRIDGE NY,4.39,debit,Toll,Charles Schwab
2026-03-05,AMERICAN EXPRESS ONLINE PAYMENT,4854.56,credit,Credit Card Payment,Capital One Venture
2026-03-05,AplPay NOBU DOWNTOWN NEW YORK NY,138.8,debit,Restaurants,Capital One Venture
2026-03-04,AMERICAN EXPRESS ONLINE PAYMENT,2093.61,credit,Credit Card Payment,Capital One Venture
2026-03-04,AMERICAN EXPRESS ONLINE PAYMENT,3940.81,credit,Credit Card Payment,Charles Schwab
2026-03-03,BEST BUY #234 5TH AVE CHELSEA NY,648.6,debit,Shopping,Wells Fargo
2026-03-03,MISC CHARGE UNKNOWN MERCHANT,193.16,debit,Other,Amex Platinum
2026-03-03,NYC MTA METROCARD AUTOREFILL NEW YORK NY,58.16,debit,Public Transit,Wells Fargo
2026-03-03,NORDSTROM NYC COLUMBUS CIRCLE NY,630.5,debit,Shopping,Capital One Venture
2026-03-03,WAYFAIR *FURNITURE BOSTON MA,332.14,debit,Home Goods,Capital One Venture
2026-03-03,STARBUCKS STORE #45678 BROADWAY NYC,6.26,debit,Coffee Shops,Amex Platinum
2026-03-01,BLUCLUB SPA 22 EAST 54TH ST NYC,136.98,credit,Personal Care,Capital One Venture
2026-03-01,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,98.76,debit,Restaurants,Wells Fargo
2026-03-01,AUTOPAY CREDIT CARD CHASE SAPPHIRE,1751.98,credit,Credit Card Payment,Chase Sapphire
2026-03-01,PELOTON ALL-ACCESS MEMBERSHIP NY,19.82,debit,Subscriptions,Wells Fargo
2026-03-01,ANNUAL MEMBERSHIP FEE CREDIT CARD,58.44,debit,Other,Capital One Venture
2026-02-28,CAVA MEDITERRANEAN GRILL 55 FIFTH AVE NYC,145.4,debit,Restaurants,Capital One Venture
2026-02-28,AMAZON.COM*XYZ789 AMAZON.COM/WA,49.84,debit,Shopping,Charles Schwab
2026-02-27,NORDSTROM NYC COLUMBUS CIRCLE NY,476.99,debit,Shopping,Capital One Venture
2026-02-27,FRESH DIRECT ONLINE ORDER #FD-98765 NYC,80.4,credit,Groceries,Wells Fargo
2026-02-27,TOTAL WINE & MORE #112 CHELSEA NY,106.73,debit,Bars & Alcohol,Chase Sapphire
2026-02-26,BONUS PAYMENT ACME TECHNOLOGIES INC,9335.67,credit,Salary,Chase Sapphire
2026-02-26,UNITED AIRLINES CHICAGO IL,810.47,debit,Travel & Vacation,Wells Fargo
2026-02-26,UBER TRIP HELP.UBER.COM CA,789.3,debit,Travel & Vacation,Wells Fargo
2026-02-25,NORDSTROM NYC COLUMBUS CIRCLE NY,65.42,debit,Shopping,Amex Platinum
2026-02-25,EZPASS LINCOLN TUNNEL TOLL NY,10.14,debit,Toll,Chase Sapphire
2026-02-24,NORDSTROM NYC COLUMBUS CIRCLE NY,533.13,debit,Shopping,Amex Platinum
2026-02-24,WIRE TRANSFER OUTGOING DOMESTIC,3346.66,credit,Transfer,Wells Fargo
2026-02-24,MORTON WILLIAMS #14     EAST 74TH ST NYC,86.23,debit,Groceries,Chase Sapphire
2026-02-24,HERTZ RENT A CAR ESTERO FL,1663.47,debit,Travel & Vacation,Amex Platinum
2026-02-23,INTEREST CREDIT HIGH-YIELD SAVINGS,15.27,credit,Interest,Charles Schwab
2026-02-22,TOTAL WINE & MORE #112 CHELSEA NY,102.45,debit,Bars & Alcohol,Capital One Venture
2026-02-21,ZELLE TRANSFER GIFT BIRTHDAY PRESENT,75.55,credit,Gift Income,Wells Fargo
2026-02-21,EATALY NYC FLATIRON 200 FIFTH AVE NEW YORK NY,147.34,credit,Groceries,Chase Sapphire
2026-02-21,UBER TRIP HELP.UBER.COM CA,30.55,debit,Ride Share,Amex Platinum
2026-02-21,EATALY NYC FLATIRON 200 FIFTH AVE NEW YORK NY,136.38,debit,Groceries,Chase Sapphire
2026-02-20,JOE COFFEE 1271 6TH AVE NEW YORK NY USA,11.03,credit,Coffee Shops,Wells Fargo
2026-02-20,THE DEAD RABBIT 30 PEARL ST NEW YORK NY USA,41.91,debit,Bars & Alcohol,Amex Platinum
2026-02-20,EQUIINOX GYM MEMBERSHIP NYC,139.72,debit,Personal Care,Wells Fargo
2026-02-19,AMERICAN EXPRESS ONLINE PAYMENT,391.54,credit,Credit Card Payment,Capital One Venture
2026-02-19,EATALY NYC FLATIRON 200 FIFTH AVE NEW YORK NY,33.54,debit,Groceries,Capital One Venture
2026-02-19,NJ TRANSIT MONTHLY PASS NEWARK NJ,102.87,debit,Public Transit,Amex Platinum
2026-02-18,THE DEAD RABBIT 30 PEARL ST NEW YORK NY USA,102.5,debit,Bars & Alcohol,Amex Platinum
2026-02-17,CON EDISON ELECTRIC BILL NEW YORK NY,157.88,debit,Utilities,Capital One Venture
2026-02-16,AUTOPAY CREDIT CARD CHASE SAPPHIRE,584.88,credit,Credit Card Payment,Chase Sapphire
2026-02-16,DIRECT DEPOSIT ACME TECH CORP PAYROLL NYC,8351.0,credit,Salary,Capital One Venture
2026-02-15,NY STATE TAX WITHHOLDING ALBANY NY,1173.5,credit,Taxes,Amex Platinum
2026-02-15,PELOTON ALL-ACCESS MEMBERSHIP NY,39.31,debit,Subscriptions,Wells Fargo
2026-02-14,BLUE HILL AT STONE BARNS TARRYTOWN NY,60.15,debit,Restaurants,Capital One Venture
2026-02-14,UNITED AIRLINES CHICAGO IL,892.46,debit,Travel & Vacation,Charles Schwab
2026-02-13,NETFLIX.COM 800-123-4567 CA,42.72,debit,Subscriptions,Chase Sapphire
2026-02-13,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,105.84,debit,Restaurants,Chase Sapphire
2026-02-12,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,132.98,debit,Restaurants,Charles Schwab
2026-02-11,WIRE TRANSFER OUTGOING DOMESTIC,3626.8,credit,Transfer,Chase Sapphire
2026-02-11,IRS ESTIMATED TAX PAYMENT EFTPS USA,3526.17,debit,Taxes,Amex Platinum
2026-02-11,AMERICAN EXPRESS ONLINE PAYMENT,4574.12,credit,Credit Card Payment,Capital One Venture
2026-02-10,CORPORATE CARD REIMBURSEMENT ACME CORP,274.27,credit,Reimbursement,Amex Platinum
2026-02-10,BONUS PAYMENT ACME TECHNOLOGIES INC,5630.93,credit,Salary,Amex Platinum
2026-02-10,NY E-ZPASS TRI-BOROUGH BRIDGE NY,16.16,credit,Toll,Wells Fargo
2026-02-09,AUTOPAY CREDIT CARD CHASE SAPPHIRE,2367.4,credit,Credit Card Payment,Wells Fargo
2026-02-09,AplPay NOBU DOWNTOWN NEW YORK NY,151.53,debit,Restaurants,Wells Fargo
2026-02-09,TRADER JOES STORE 0234      UPPER WEST SIDE NY,173.62,debit,Groceries,Chase Sapphire
2026-02-09,BLUE BOTTLE COFFEE 450 W 15TH ST NEW YORK NY,7.72,credit,Coffee Shops,Chase Sapphire
2026-02-08,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,90.77,debit,Restaurants,Charles Schwab
2026-02-08,UBER TRIP HELP.UBER.COM CA,30.06,debit,Ride Share,Wells Fargo
2026-02-08,HOME DEPOT #5678 QUEENS BLVD NY,72.99,debit,House Maintenance,Wells Fargo
2026-02-07,NYC MTA METROCARD AUTOREFILL NEW YORK NY,103.02,debit,Public Transit,Capital One Venture
2026-02-07,AMERICAN EXPRESS ONLINE PAYMENT,436.08,credit,Credit Card Payment,Wells Fargo
2026-02-07,BLUE BOTTLE COFFEE 450 W 15TH ST NEW YORK NY,7.54,debit,Coffee Shops,Capital One Venture
2026-02-06,DAVIES DINER 456 PARK AVE NEW YORK NY USA,108.94,debit,Restaurants,Amex Platinum
2026-02-06,CHIPOTLE 2345 3RD AVE NEW YORK NY USA,10.4,debit,Fast Food,Amex Platinum
2026-02-06,CRATE AND BARREL 1201 3RD AVE NEW YORK NY,386.14,debit,Home Goods,Wells Fargo
2026-02-06,AMAZON.COM*XYZ789 AMAZON.COM/WA,27.39,debit,Shopping,Amex Platinum
2026-02-05,AplPay YANKEE TICKETS BRONX NY,100.31,debit,Entertainment,Charles Schwab
2026-02-05,FRESH DIRECT ONLINE ORDER #FD-98765 NYC,193.7,credit,Groceries,Wells Fargo
2026-02-04,AUTOPAY CREDIT CARD CHASE SAPPHIRE,3785.29,credit,Credit Card Payment,Chase Sapphire
2026-02-04,AUTOPAY CREDIT CARD CHASE SAPPHIRE,2810.46,credit,Credit Card Payment,Amex Platinum
2026-02-04,AUTOPAY CREDIT CARD CHASE SAPPHIRE,3844.9,credit,Credit Card Payment,Chase Sapphire
2026-02-04,CAVA MEDITERRANEAN GRILL 55 FIFTH AVE NYC,31.8,credit,Restaurants,Charles Schwab
2026-02-03,FRESH DIRECT ONLINE ORDER #FD-98765 NYC,25.15,debit,Groceries,Chase Sapphire
2026-02-03,TRADER JOES STORE 0234      UPPER WEST SIDE NY,242.5,debit,Groceries,Charles Schwab
2026-02-03,NORDSTORM REFUND CREDIT SEATTLE WA,185.9,credit,Refunds,Amex Platinum
2026-02-03,UNITED AIRLINES CHICAGO IL,1962.51,debit,Travel & Vacation,Wells Fargo
2026-02-02,BONUS PAYMENT ACME TECHNOLOGIES INC,5320.77,credit,Salary,Chase Sapphire
2026-02-02,AplPay MASTERCLASS ANNUAL SUBSCRIPTION SF CA,182.04,debit,Hobby,Capital One Venture
2026-02-02,BONUS PAYMENT ACME TECHNOLOGIES INC,5758.42,credit,Salary,Wells Fargo
2026-02-02,NY E-ZPASS TRI-BOROUGH BRIDGE NY,5.24,debit,Toll,Charles Schwab
2026-02-01,TOTAL WINE & MORE #112 CHELSEA NY,98.03,debit,Bars & Alcohol,Capital One Venture
2026-02-01,LYFT*RIDESHARE 844-200-5938 CA,13.21,credit,Ride Share,Capital One Venture
2026-02-01,UBER TRIP HELP.UBER.COM CA,24.72,debit,Ride Share,Charles Schwab
2026-01-31,UNITED AIRLINES CHICAGO IL,192.86,credit,Travel & Vacation,Charles Schwab
2026-01-31,NORDSTROM NYC COLUMBUS CIRCLE NY,157.74,debit,Shopping,Capital One Venture
2026-01-30,UBER TRIP HELP.UBER.COM CA,37.12,credit,Ride Share,Amex Platinum
2026-01-29,CRATE AND BARREL 1201 3RD AVE NEW YORK NY,217.84,debit,Home Goods,Wells Fargo
2026-01-29,APPLE FIFTH AVENUE NEW YORK NY USA,191.34,debit,Shopping,Amex Platinum
2026-01-28,NYTIMES DIGITAL SUBSCRIPTION NY,24.47,debit,Subscriptions,Charles Schwab
2026-01-27,JOE COFFEE 1271 6TH AVE NEW YORK NY USA,5.12,debit,Coffee Shops,Amex Platinum
2026-01-26,EMPLOYER EXPENSE REIMBURSEMENT DIRECT DEP,487.35,credit,Reimbursement,Wells Fargo
2026-01-26,MISC CHARGE UNKNOWN MERCHANT,382.74,debit,Other,Wells Fargo
2026-01-24,EATALY NYC FLATIRON 200 FIFTH AVE NEW YORK NY,44.99,debit,Groceries,Chase Sapphire
2026-01-24,WHOLEFDS MKT #2088       COLUMBUS AVE NEW YORK NY,214.36,debit,Groceries,Capital One Venture
2026-01-24,AMERICAN EXPRESS ONLINE PAYMENT,3955.62,credit,Credit Card Payment,Chase Sapphire
2026-01-24,AUTOPAY CREDIT CARD CHASE SAPPHIRE,3404.01,credit,Credit Card Payment,Wells Fargo
2026-01-23,NYC MTA METROCARD AUTOREFILL NEW YORK NY,46.15,debit,Public Transit,Amex Platinum
2026-01-23,BLUE BOTTLE COFFEE 450 W 15TH ST NEW YORK NY,4.64,credit,Coffee Shops,Wells Fargo
2026-01-23,WHOLEFDS MKT #2088       COLUMBUS AVE NEW YORK NY,166.46,debit,Groceries,Amex Platinum
2026-01-22,NYC MTA METROCARD AUTOREFILL NEW YORK NY,112.0,debit,Public Transit,Charles Schwab
2026-01-21,HOME DEPOT #5678 QUEENS BLVD NY,399.06,debit,House Maintenance,Capital One Venture
2026-01-20,THE DEAD RABBIT 30 PEARL ST NEW YORK NY USA,105.98,debit,Bars & Alcohol,Amex Platinum
2026-01-20,UNIQLO SOHO 546 BROADWAY NEW YORK NY,353.06,debit,Shopping,Chase Sapphire
2026-01-19,AplPay NOBU DOWNTOWN NEW YORK NY,108.3,debit,Restaurants,Charles Schwab
2026-01-19,MORTON WILLIAMS #14     EAST 74TH ST NYC,153.3,debit,Groceries,Wells Fargo
2026-01-19,BLOOMINGDALES LEXINGTON AVE NYC,212.35,debit,Shopping,Capital One Venture
2026-01-19,EMPORIO RESTAURANT & WINE 230 5TH AVE NYC,43.97,debit,Bars & Alcohol,Wells Fargo
2026-01-18,NORDSTORM REFUND CREDIT SEATTLE WA,139.25,credit,Refunds,Chase Sapphire
2026-01-18,EMPORIO RESTAURANT & WINE 230 5TH AVE NYC,103.35,debit,Bars & Alcohol,Chase Sapphire
2026-01-17,EMPLOYER EXPENSE REIMBURSEMENT DIRECT DEP,169.01,credit,Reimbursement,Amex Platinum
2026-01-17,LYFT*RIDESHARE 844-200-5938 CA,37.13,debit,Ride Share,Amex Platinum
2026-01-17,LA COLMBE COFFEE ROASTERS NYC,10.88,credit,Coffee Shops,Chase Sapphire
2026-01-17,BARBER & CO 567 5TH AVE NEW YORK NY USA,155.5,debit,Personal Care,Amex Platinum
2026-01-16,AplPay AIRBNB *HOMESAN FRANCISCO CA,421.3,debit,Travel & Vacation,Capital One Venture
2026-01-16,DIRECT DEPOSIT ACME TECH CORP PAYROLL NYC,9267.42,credit,Salary,Chase Sapphire
2026-01-15,DAVIES DINER 456 PARK AVE NEW YORK NY USA,162.53,debit,Restaurants,Chase Sapphire
2026-01-15,AplPay YANKEE TICKETS BRONX NY,171.53,credit,Entertainment,Wells Fargo
2026-01-15,NY E-ZPASS TRI-BOROUGH BRIDGE NY,14.78,debit,Toll,Charles Schwab
2026-01-14,LA COLMBE COFFEE ROASTERS NYC,11.58,debit,Coffee Shops,Amex Platinum
2026-01-14,ZELLE TRANSFER TO SAVINGS ACCOUNT,428.95,credit,Transfer,Capital One Venture
2026-01-13,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,168.5,debit,Restaurants,Wells Fargo
2026-01-13,EATALY NYC FLATIRON 200 FIFTH AVE NEW YORK NY,155.93,credit,Groceries,Amex Platinum
2026-01-13,AUTOPAY CREDIT CARD CHASE SAPPHIRE,4185.17,credit,Credit Card Payment,Wells Fargo
2026-01-13,NYTIMES DIGITAL SUBSCRIPTION NY,23.39,debit,Subscriptions,Chase Sapphire
2026-01-12,ZELLE TRANSFER GIFT BIRTHDAY PRESENT,262.84,credit,Gift Income,Chase Sapphire
2026-01-12,LYFT*RIDESHARE 844-200-5938 CA,32.48,debit,Ride Share,Wells Fargo
2026-01-12,NORDSTROM NYC COLUMBUS CIRCLE NY,705.27,debit,Shopping,Charles Schwab
2026-01-11,BLUE HILL AT STONE BARNS TARRYTOWN NY,132.67,debit,Restaurants,Amex Platinum
2026-01-11,NETFLIX.COM 800-123-4567 CA,21.04,debit,Subscriptions,Capital One Venture
2026-01-11,UBER TRIP HELP.UBER.COM CA,139.68,credit,Travel & Vacation,Wells Fargo
2026-01-10,AplPay AIRBNB *HOMESAN FRANCISCO CA,1734.48,debit,Travel & Vacation,Capital One Venture
2026-01-10,WHOLEFDS MKT #2088       COLUMBUS AVE NEW YORK NY,190.57,debit,Groceries,Chase Sapphire
2026-01-09,MOMOFUKU NISSI WA 171 1ST AVE NEW YORK NY,77.07,debit,Restaurants,Amex Platinum
2026-01-08,ACH INTERNET TRANSFER CHECKING TO SAVINGS,1222.34,credit,Transfer,Chase Sapphire
2026-01-07,MORTON WILLIAMS #14     EAST 74TH ST NYC,130.3,debit,Groceries,Chase Sapphire
2026-01-07,ZELLE TRANSFER TO SAVINGS ACCOUNT,1722.63,credit,Transfer,Charles Schwab
2026-01-07,BARBER & CO 567 5TH AVE NEW YORK NY USA,135.8,debit,Personal Care,Charles Schwab
2026-01-06,NYC MTA METROCARD AUTOREFILL NEW YORK NY,65.28,debit,Public Transit,Capital One Venture
2026-01-06,WHOLEFDS MKT #2088       COLUMBUS AVE NEW YORK NY,152.51,debit,Groceries,Amex Platinum
2026-01-05,CAVA MEDITERRANEAN GRILL 55 FIFTH AVE NYC,87.29,debit,Restaurants,Capital One Venture
